4	2814	70025386.5	0	70024246	70026527	"evm.model.chr5.2778.2"
3	23	87398257.5	0	87398211	87398304	"evm.model.chr4.3651.1"
4	7839	75507288	0	75507135	75507441	"evm.model.chr5.3081"
3	7839	94268939.5	0	94268645	94269234	"evm.model.chr4.4011.1"
4	2818	75353920	0	75353757	75354083	"evm.model.chr5.3074"
3	1626	82268280	0	82268168	82268392	"evm.model.chr4.3356"
4	1627	74916293.5	0	74915402	74917185	"evm.model.chr5.3047.1"
3	711	93757413	0	93757290	93757536	"evm.model.chr4.3984"
3	3406	85457097	0	85456745	85457449	"evm.model.chr4.3487"
4	3406	65773731.5	0	65773058	65774405	"evm.model.chr5.2527.1"
3	10059	85932707	0	85932605	85932809	"evm.model.chr4.3556"
3	1774	76623680	0	76623649	76623711	"evm.model.chr4.2965.1"
3	160	93382124.5	0	93381131	93383118	"evm.model.chr4.3967"
4	160	74469098	0	74468106	74470090	"evm.model.chr5.3021.1"
4	6313	61768216.5	0	61768049	61768384	"evm.model.chr5.2321.1"
3	6313	82431452	0	82431286	82431618	"evm.model.chr4.3371.1"
3	6314	93628041.5	0	93627019	93629064	"evm.model.chr4.3977"
4	1717	73714547.5	0	73714429	73714666	"evm.model.chr5.2979"
3	3477	92166425	0	92166176	92166674	"evm.model.chr4.3905.2"
3	3440	91936739.5	0	91936395	91937084	"evm.model.chr4.3883"
3	2867	92782730.5	0	92782413	92783048	"evm.model.chr4.3940"
3	2907	96379840.5	0	96379344	96380337	"evm.model.chr4.4140"
4	2868	73877410.5	0	73877264	73877557	"evm.model.chr5.2988"
3	2868	92650510.5	0	92650358	92650663	"evm.model.chr4.3932"
3	105	83991562.5	0	83991155	83991970	"evm.model.chr4.3448.1"
4	105	63529488	0	63529019	63529957	"evm.model.chr5.2450"
4	2851	67741622.5	0	67741480	67741765	"evm.model.chr5.2648"
3	2851	86910661	0	86910568	86910754	"evm.model.chr4.3626"
4	2851	67741622.5	0	67741480	67741765	"evm.model.chr5.2648.1"
4	107	73119540.5	0	73118992	73120089	"evm.model.chr5.2943"
4	8631	67494039	0	67493942	67494136	"evm.model.chr5.2631.1"
4	108	73013992.5	0	73013956	73014029	"evm.model.chr5.2938.1"
4	108	73013992.5	0	73013956	73014029	"evm.model.chr5.2938"
