5	2974	6497848.5	0	6495047	6500650	"Sp05g00982"
15	2975	908665.5	0	906581	910750	"Sp15g00085"
15	7826	913847.5	0	912286	915409	"Sp15g00087"
12	402	5026333.5	0	5026006	5026661	"Sp12g00752"
12	402	2618809	0	2618342	2619276	"Sp12g00318"
12	402	5032114	0	5030297	5033931	"Sp12g00755"
12	6630	5028163.5	0	5027143	5029184	"Sp12g00753"
12	2976	5044135	0	5042754	5045516	"Sp12g00759"
5	359	6503687	0	6502432	6504942	"Sp05g00985"
12	359	5077403	0	5076062	5078744	"Sp12g00766"
15	1951	871700.5	0	869563	873838	"Sp15g00074"
12	1951	5186580	0	5184599	5188561	"Sp12g00790"
12	5260	5193230	0	5189831	5196629	"Sp12g00791"
12	426	5233080.5	0	5232237	5233924	"Sp12g00796"
11	1946	6412877.5	0	6412722	6413033	"Sp11g00905"
12	1946	5268268	0	5266731	5269805	"Sp12g00803"
15	1946	843103.5	0	842580	843627	"Sp15g00067"
5	1946	6602879.5	0	6602724	6603035	"Sp05g01007"
12	7483	5267903	0	5267650	5268156	"Sp12g00804"
12	1297	5276591	0	5274172	5279010	"Sp12g00807"
15	1967	835972.5	0	834970	836975	"Sp15g00065"
5	1967	6611870.5	0	6610165	6613576	"Sp05g01011"
5	7497	6618003.5	0	6616425	6619582	"Sp05g01013"
12	7869	5312107	0	5309679	5314535	"Sp12g00814"
12	1966	5333308.5	0	5333014	5333603	"Sp12g00820"
12	7870	5358868.5	0	5357732	5360005	"Sp12g00827"
12	7484	5365396	0	5365036	5365756	"Sp12g00828"
5	5945	6628632.5	0	6627475	6629790	"Sp05g01015"
5	1965	6636028.5	0	6632519	6639538	"Sp05g01017"
5	2039	6657605.5	0	6654089	6661122	"Sp05g01021"
5	9044	6674151	0	6672774	6675528	"Sp05g01025"
2	4418	5473355	0	5472223	5474487	"Sp02g01067"
5	4418	6677398	0	6676147	6678649	"Sp05g01026"
12	441	5475985	0	5475492	5476478	"Sp12g00844"
5	441	6737164.5	0	6737003	6737326	"Sp05g01031"
12	441	5482647.5	0	5482139	5483156	"Sp12g00846"
15	441	735365	0	732232	738498	"Sp15g00040"
12	441	5480551	0	5480336	5480766	"Sp12g00845"
12	9604	5499092.5	0	5498683	5499502	"Sp12g00853"
5	1964	6771186.5	0	6769927	6772446	"Sp05g01039"
12	1964	5562404	0	5561767	5563041	"Sp12g00861"
5	2055	6824966	0	6824059	6825873	"Sp05g01047"
12	2027	5578518	0	5577716	5579320	"Sp12g00865"
12	2026	5568653	0	5564336	5572970	"Sp12g00862"
15	2026	712502	0	712216	712788	"Sp15g00036"
15	935	709941.5	0	709002	710881	"Sp15g00035"
5	935	6817044	0	6810587	6823501	"Sp05g01046"
5	935	6799571.5	0	6797782	6801361	"Sp05g01044"
5	2025	6790118.5	0	6786273	6793964	"Sp05g01043"
12	2025	5600672.5	0	5599163	5602182	"Sp12g00869"
5	2054	6774031.5	0	6773282	6774781	"Sp05g01040"
11	8029	6630488.5	0	6628950	6632027	"Sp11g00949"
11	1399	6636291.5	0	6635714	6636869	"Sp11g00951"
12	1399	5742816	0	5741375	5744257	"Sp12g00896"
15	1399	269347	0	268286	270408	"Sp15g00031"
15	2019	2236736	0	143594	4329878	"Sp15g00462"
5	2019	6923631.5	0	6923161	6924102	"Sp05g01064"
15	2019	276107	0	275824	276390	"Sp15g00032"
12	4414	5782109.5	0	5777732	5786487	"Sp12g00906"
15	4414	120166	0	116515	123817	"Sp15g00023"
12	436	5807503	0	5806570	5808436	"Sp12g00912"
12	3000	5809681	0	5808933	5810429	"Sp12g00913"
12	8053	5878240	0	5855837	5900643	"Sp12g00940"
12	2016	5817852.5	0	5811683	5824022	"Sp12g00915"
