25
0	24	22	21	24	20	23	23	18	20	17	20	21	19	11	20	26	22	20	11	22	20	16	19	15
28	0	21	23	26	20	25	21	21	24	17	20	25	22	14	17	20	20	19	13	20	21	16	18	14
21	23	0	20	23	19	24	20	19	21	14	20	22	17	12	17	18	19	19	12	19	20	17	16	16
28	26	21	0	26	22	29	22	21	27	22	21	21	19	13	18	21	22	20	13	26	20	18	17	15
27	24	21	19	0	21	24	21	19	22	16	18	22	16	12	18	17	17	19	12	20	19	16	18	16
20	19	19	19	19	0	21	17	16	16	17	17	16	14	10	18	18	18	19	10	19	18	14	17	14
24	21	21	27	24	19	0	21	18	21	16	20	20	18	11	17	19	19	20	11	21	19	15	16	15
23	19	20	18	20	18	22	0	16	18	14	18	19	17	11	18	20	19	17	11	18	16	16	16	15
18	19	18	18	21	19	20	15	0	17	16	15	17	13	13	17	16	15	16	10	21	18	14	15	13
23	23	20	22	22	18	22	21	18	0	17	19	20	17	11	16	19	18	20	10	18	18	15	15	14
20	16	15	13	17	16	16	16	15	17	0	14	13	14	10	18	16	15	17	10	18	16	11	14	10
20	20	19	19	20	16	19	17	16	16	12	0	16	16	10	14	17	17	17	11	15	16	13	16	13
21	26	21	22	22	19	25	21	20	20	14	18	0	18	13	17	19	19	18	12	20	18	15	16	15
19	21	18	17	20	15	17	16	15	18	11	16	21	0	11	10	17	17	17	10	12	15	12	13	12
13	11	13	12	13	12	13	12	12	11	11	12	13	10	0	11	12	10	11	10	13	13	10	11	7
18	17	15	14	16	17	15	13	15	12	15	12	14	11	9	0	17	15	16	10	19	15	11	13	9
26	20	18	21	19	18	21	20	17	19	14	18	19	16	12	17	0	22	18	13	18	17	15	15	14
26	22	20	20	19	17	20	19	16	19	16	16	20	16	12	15	21	0	18	9	19	19	13	16	14
21	21	17	19	19	19	19	19	18	18	15	17	16	18	10	18	19	19	0	11	20	18	15	17	12
13	12	13	12	13	10	12	13	12	11	8	11	12	8	11	9	13	11	11	0	12	10	10	12	9
22	21	19	21	22	21	21	18	23	17	19	14	16	13	11	24	20	17	20	9	0	18	12	15	12
18	20	18	18	18	16	20	16	15	16	14	16	15	16	10	17	14	16	16	11	18	0	11	16	13
16	16	15	13	15	16	15	14	14	14	12	13	13	10	9	13	13	12	13	10	13	13	0	14	10
14	14	16	13	14	14	14	14	12	14	12	13	13	10	10	13	14	12	11	9	13	14	10	0	9
16	16	16	15	16	13	15	13	13	14	9	13	14	12	7	14	13	14	13	6	15	15	11	13	0
