60
0	30	47	47	38	33	29	24	20	28	23	30	33	17	26	27	24	18	15	25	25	26	20	22	27	18	16	20	19	22	26	20	14	14	23	26	23	25	32	15	16	18	16	25	24	14	14	11	29	16	14	19	18	21	10	20	16	15	7	11
32	0	30	25	25	26	22	23	21	23	19	26	26	18	20	22	21	18	17	22	23	23	20	24	23	20	7	20	21	22	25	16	8	16	22	17	17	21	24	16	16	21	21	18	23	16	16	13	9	19	16	6	17	9	14	8	4	6	10	4
43	26	0	39	36	31	27	23	21	25	23	29	34	18	24	24	26	20	18	25	27	27	23	26	26	21	17	20	22	25	23	21	12	17	22	28	18	28	31	16	16	20	21	28	25	16	16	11	24	20	16	17	17	17	13	17	14	13	10	10
49	28	41	0	36	32	28	27	20	30	23	31	31	20	29	22	21	21	19	30	28	27	22	29	20	18	14	19	22	27	26	23	16	18	21	25	26	23	29	16	19	20	19	22	27	16	16	12	22	19	16	12	21	14	14	19	12	10	11	7
36	21	34	34	0	26	23	21	21	22	23	27	21	20	23	19	18	18	18	21	27	24	21	22	20	16	10	19	21	21	19	18	8	17	18	22	17	22	27	16	16	17	18	22	26	15	15	12	9	18	15	11	17	12	14	12	9	7	11	5
34	27	33	29	26	0	25	22	20	23	22	25	28	18	22	23	20	18	16	23	25	23	21	25	22	18	9	19	21	22	23	18	9	16	23	17	16	19	25	16	18	18	18	17	21	16	16	11	11	18	16	6	18	8	14	8	6	5	10	2
28	23	28	31	23	28	0	23	19	23	21	22	25	16	25	22	20	20	17	22	20	23	19	25	21	17	3	18	19	20	22	19	10	15	17	12	19	18	20	15	17	17	18	16	21	14	15	12	9	19	15	4	20	3	13	7	2	3	10	3
22	19	25	25	23	22	19	0	19	21	19	21	22	16	19	19	20	16	15	20	21	20	20	20	18	17	4	17	20	15	21	14	9	16	18	14	16	19	20	14	17	19	19	16	19	14	14	11	9	18	15	4	15	4	13	7	5	4	9	2
19	20	21	21	21	20	21	19	0	18	19	22	19	15	17	20	19	17	15	20	19	20	19	20	19	19	3	21	20	17	18	15	5	14	19	10	15	17	18	16	15	19	17	14	21	15	15	12	4	18	16	2	14	3	12	5	1	1	9	0
27	20	24	33	22	22	22	20	19	0	20	23	22	15	19	21	17	15	15	23	19	23	21	21	17	15	6	17	19	17	20	15	8	16	13	15	14	17	21	13	15	18	15	18	19	13	14	11	10	16	15	5	15	5	12	5	4	4	9	2
20	20	23	21	21	20	20	19	20	18	0	21	19	17	16	19	19	17	15	19	19	19	19	20	19	18	5	19	22	16	19	15	6	14	19	11	14	18	20	16	15	18	19	15	20	15	13	12	5	18	16	2	14	4	12	5	2	1	9	1
