42
0	34	35	38	28	26	28	30	33	32	26	35	22	26	30	22	29	21	26	20	26	32	28	25	19	26	21	19	21	19	22	19	20	22	19	20	17	16	23	23	18	18
33	0	34	31	23	26	27	27	28	28	25	28	18	25	27	23	23	20	25	22	27	31	24	23	18	24	18	20	19	19	23	19	16	19	19	21	16	17	21	22	17	19
39	36	0	34	27	27	27	29	27	28	27	32	22	26	28	25	28	19	26	22	28	32	29	25	18	24	19	17	22	18	21	19	18	20	17	18	16	17	22	26	17	19
35	31	31	0	26	23	26	27	27	31	23	28	23	24	30	20	28	19	26	20	20	28	28	20	19	22	16	20	22	16	19	18	19	18	18	19	14	15	24	22	15	17
28	26	25	27	0	23	26	25	22	23	21	23	16	18	21	19	22	18	21	20	19	21	23	24	17	20	17	17	20	18	22	19	17	20	17	16	16	15	20	22	15	15
32	25	26	29	24	0	26	28	24	25	23	26	20	21	21	21	22	17	20	18	19	22	24	22	16	20	17	16	20	15	20	19	17	21	19	18	15	17	17	20	16	16
31	26	26	28	20	21	0	28	26	23	22	30	18	19	24	16	18	20	23	16	15	23	23	24	17	21	18	18	17	17	19	19	15	16	16	17	14	14	17	18	16	16
31	30	26	29	26	23	27	0	25	26	22	26	21	21	24	21	19	18	24	20	20	28	23	21	17	24	18	19	20	16	21	19	16	18	18	18	14	13	17	19	16	16
31	30	29	30	22	23	23	23	0	28	20	27	24	22	27	17	19	21	22	17	21	32	20	21	17	22	16	18	18	15	20	19	15	17	19	17	14	14	19	17	15	15
29	28	27	31	22	22	21	25	29	0	29	28	19	23	30	20	20	18	21	19	17	31	24	16	15	23	18	16	18	15	18	17	15	16	17	14	15	13	19	16	14	14
30	25	28	28	23	22	24	24	22	29	0	28	21	21	25	21	24	14	20	18	20	28	23	22	16	21	14	15	18	16	18	16	18	20	16	14	14	13	15	19	16	13
32	27	28	30	21	23	24	22	33	30	26	0	19	23	28	17	21	18	18	18	20	26	17	24	16	26	17	18	17	12	20	18	14	17	18	16	12	12	19	19	14	15
