37
0	41	41	31	37	31	30	32	30	33	22	25	22	28	19	20	20	17	21	16	20	26	17	21	16	19	24	17	12	17	13	22	20	14	12	17	27
39	0	34	32	36	27	28	30	25	29	18	25	19	21	17	21	18	17	18	16	19	26	17	20	16	19	21	15	11	13	14	21	15	13	11	16	22
41	34	0	29	33	33	35	30	26	31	21	26	21	24	20	16	21	17	20	18	20	27	18	20	16	20	23	14	11	11	13	22	15	13	12	17	24
29	27	26	0	28	22	25	22	23	23	20	21	22	17	17	20	18	17	19	16	20	19	18	19	14	18	19	13	12	11	13	22	9	12	12	17	18
34	30	35	29	0	24	29	27	30	26	20	25	23	19	20	24	19	17	18	18	21	23	18	20	16	18	19	13	13	17	12	24	16	12	12	19	23
25	24	23	22	25	0	22	20	24	21	17	18	17	22	17	16	18	15	16	18	18	16	17	17	15	15	16	11	8	8	12	19	11	13	12	15	17
30	25	33	27	31	21	0	35	25	21	24	31	21	17	18	19	19	17	18	16	21	18	17	21	15	16	20	10	14	13	12	23	11	12	12	16	17
36	26	33	26	32	17	36	0	19	19	20	24	16	16	15	16	16	14	8	9	12	14	12	15	9	12	13	8	13	11	12	16	12	8	6	9	14
28	25	26	26	28	25	22	20	0	22	17	21	22	20	17	17	16	15	19	16	18	18	17	17	14	16	19	14	10	14	11	21	13	11	12	15	23
35	29	33	23	28	27	21	22	20	0	16	21	19	20	16	17	17	15	16	16	18	24	16	18	13	19	20	16	7	10	13	19	11	13	11	15	20
23	19	20	19	22	17	22	15	18	15	0	21	17	13	17	14	15	14	16	16	16	16	17	17	15	15	16	9	6	10	11	17	10	11	12	15	14
28	21	27	23	25	16	31	27	19	20	19	0	18	14	19	18	18	14	19	15	17	18	17	17	14	16	19	11	11	12	11	17	13	11	12	14	17
26	24	25	24	26	20	25	21	22	21	19	19	0	15	17	18	18	16	18	16	19	21	17	19	15	18	20	13	11	13	11	19	11	11	12	14	18
26	25	24	19	21	20	19	22	18	23	13	18	13	0	13	16	13	13	11	12	12	18	12	14	12	13	15	13	7	6	11	13	8	13	10	10	15
19	18	18	18	18	17	21	18	17	15	18	20	16	12	0	13	17	13	15	15	16	16	17	17	15	15	17	9	6	7	9	16	8	11	11	13	14
19	19	22	21	23	15	18	19	20	18	15	15	19	15	13	0	14	15	14	14	13	17	13	13	11	14	13	14	11	13	11	15	10	11	12	13	16
20	19	19	19	19	17	19	16	17	17	17	17	18	14	18	15	0	14	15	15	16	15	18	18	13	17	15	9	7	8	12	18	9	12	12	13	16
17	16	17	17	17	17	17	11	16	15	15	14	11	13	13	12	14	0	11	13	13	16	15	15	12	15	14	10	5	6	13	15	8	11	10	9	14
20	19	20	18	19	18	19	13	17	17	16	18	16	12	17	12	15	11	0	16	16	14	16	15	14	14	18	10	4	6	8	16	8	10	11	14	11
16	17	17	17	16	17	17	12	17	15	17	15	15	12	14	13	15	14	14	0	16	15	16	16	15	14	13	10	5	7	11	16	9	11	12	15	14
19	17	20	19	18	17	19	12	19	17	15	17	16	11	16	14	16	13	17	15	0	15	16	17	13	14	16	9	5	7	9	18	8	11	11	13	13
28	25	27	22	23	24	22	18	20	23	17	18	18	18	16	15	18	17	16	15	17	0	16	17	14	18	17	11	9	8	12	19	10	13	12	15	16
18	18	18	18	17	18	18	14	18	16	17	18	15	13	17	14	17	15	16	15	17	16	0	18	13	16	16	9	5	7	12	16	8	12	11	14	15
21	19	20	19	20	18	19	15	18	18	16	17	18	14	16	16	17	14	16	15	17	15	17	0	12	15	16	11	8	9	12	18	10	12	12	14	16
17	17	17	17	17	16	17	12	17	15	16	16	15	11	16	13	17	14	14	15	15	15	17	17	0	16	14	9	5	7	9	17	8	11	10	14	13
20	20	18	19	19	19	18	14	17	19	16	16	18	14	15	15	17	14	15	15	15	17	17	18	14	0	17	11	6	7	11	18	8	12	11	12	14
26	25	22	22	23	22	20	20	18	21	17	17	15	15	18	14	17	14	15	16	16	18	17	19	15	16	0	10	6	6	10	18	8	13	11	14	13
17	15	14	15	16	14	13	11	13	14	10	12	16	14	10	11	12	12	9	10	8	13	13	12	8	13	10	0	6	7	11	11	9	10	11	10	14
11	10	9	10	15	7	12	8	7	7	6	7	6	8	6	10	6	5	5	5	5	6	5	7	5	5	5	6	0	12	6	5	5	4	4	6	5
13	15	15	13	18	11	13	11	15	10	7	9	8	11	7	12	8	8	6	7	8	10	8	10	6	9	9	7	13	0	9	8	10	4	6	8	12
15	14	14	14	16	15	14	11	14	14	13	14	11	13	13	11	12	13	11	13	13	13	14	14	11	13	13	9	6	9	0	12	10	11	12	10	10
20	19	22	21	20	19	20	16	22	19	16	20	18	15	17	16	16	15	17	16	18	16	17	18	13	16	17	8	6	8	12	0	8	12	11	15	16
16	14	14	13	17	14	12	11	17	14	8	11	11	14	11	10	11	10	9	9	9	11	11	10	7	11	12	10	7	13	8	12	0	7	10	8	16
16	15	13	13	12	11	14	9	12	15	10	11	10	13	11	9	11	11	9	9	9	11	11	11	7	11	10	10	6	7	9	11	9	0	10	7	9
11	12	11	12	12	12	11	8	12	11	11	10	10	9	11	10	11	10	10	11	10	11	12	11	10	10	11	10	5	8	11	11	10	10	0	9	10
17	18	19	19	19	17	19	14	18	15	17	15	19	10	15	14	16	12	13	15	16	15	16	15	13	14	14	9	8	9	9	16	8	10	11	0	13
27	23	26	22	21	19	22	17	22	21	16	18	19	20	16	16	17	14	16	14	16	15	15	17	14	17	18	10	9	13	11	18	13	11	10	13	0
