42
0	37	27	26	34	23	28	21	26	21	25	21	22	20	23	27	21	26	19	17	31	20	29	21	18	24	16	26	21	19	16	22	16	20	18	22	19	19	18	13	19	23
29	0	25	26	31	26	27	20	25	21	20	24	26	21	24	27	19	22	21	17	29	21	26	20	19	23	16	25	21	19	14	20	17	20	19	18	21	18	17	13	18	24
29	25	0	23	25	20	22	19	19	17	19	21	19	17	20	22	18	18	18	17	20	18	21	18	18	19	18	16	19	19	12	18	18	18	18	16	18	19	17	12	18	20
31	25	20	0	24	20	22	17	21	18	24	19	20	17	21	22	18	22	17	18	25	17	21	17	18	19	16	17	19	17	15	16	17	20	17	18	18	18	16	14	16	18
32	30	24	22	0	25	24	18	21	18	19	23	21	18	22	23	20	22	17	16	22	19	24	20	19	18	16	20	18	18	13	24	16	19	18	14	19	15	18	12	15	21
26	25	21	20	25	0	22	20	22	19	17	20	20	19	21	21	18	19	20	16	20	17	19	15	18	16	17	15	20	16	13	21	16	18	16	13	18	17	15	11	14	18
28	28	20	27	27	21	0	22	24	20	20	23	25	19	25	23	23	22	22	17	25	21	18	21	19	20	16	16	22	19	14	18	17	22	20	14	19	16	18	13	15	19
20	22	17	16	21	17	20	0	20	17	16	19	21	17	21	19	16	16	18	15	18	19	14	19	17	14	16	11	19	16	13	16	16	18	18	12	17	16	15	12	15	17
24	24	20	19	21	22	21	20	0	21	17	18	21	20	22	20	16	17	18	16	21	20	18	20	16	17	16	15	20	16	15	18	18	20	18	14	17	17	18	12	15	20
20	20	18	17	19	19	19	17	17	0	16	17	18	17	19	15	15	17	17	16	17	16	13	15	16	15	16	12	17	15	12	16	16	16	15	12	15	11	17	11	16	16
21	22	19	20	18	16	20	15	17	17	0	17	17	17	20	19	16	20	14	17	22	16	20	14	16	19	14	14	16	14	14	15	15	16	15	15	14	16	17	12	15	15
19	21	18	15	21	20	21	19	19	19	15	0	21	18	21	19	17	19	17	15	17	19	13	17	19	15	16	8	21	16	11	17	15	17	17	10	18	13	16	12	13	16
21	23	20	19	20	18	21	18	19	18	18	18	0	17	21	18	15	19	15	16	18	18	15	20	16	15	16	14	19	17	13	14	17	17	17	15	19	14	17	13	15	18
18	20	18	15	18	18	19	16	18	19	16	19	19	0	19	16	15	17	15	16	17	17	15	17	17	13	17	11	18	16	14	19	15	15	16	12	17	12	16	13	14	17
