29
0	44	44	47	35	31	41	38	31	34	33	33	24	24	38	36	27	23	19	31	26	17	13	26	17	19	24	24	28
44	0	39	39	33	29	33	27	28	34	28	27	26	23	28	30	24	21	16	26	24	17	13	26	16	18	24	20	21
53	35	0	39	35	32	40	39	30	29	27	33	22	22	32	30	27	24	17	25	29	14	12	26	16	18	17	21	29
45	35	40	0	32	27	34	33	30	31	27	31	27	24	30	31	23	22	15	23	24	17	14	26	15	19	23	22	25
36	34	32	31	0	30	32	27	26	31	25	27	23	24	31	25	26	21	15	25	23	13	13	26	14	17	19	19	19
36	31	30	31	28	0	25	25	24	25	25	25	24	20	24	24	25	19	16	26	21	16	12	21	16	21	19	20	20
46	35	38	38	32	27	0	38	21	28	24	30	23	22	29	28	25	21	18	22	24	14	12	25	14	18	18	23	24
36	23	35	35	23	22	29	0	21	20	21	25	18	17	27	17	17	17	13	19	25	13	11	16	13	14	14	19	25
28	28	25	29	25	21	24	21	0	25	19	23	20	20	22	23	20	18	14	19	21	15	12	18	13	15	17	17	19
37	32	32	33	28	26	29	25	26	0	23	25	22	22	28	28	21	19	15	21	24	12	13	21	14	16	20	21	20
36	29	25	28	22	22	24	22	23	25	0	19	20	18	30	24	19	19	16	18	19	12	12	16	14	12	18	18	18
32	27	31	31	23	25	28	27	21	25	21	0	24	21	23	26	20	19	15	21	22	12	13	20	14	16	19	21	22
29	25	27	27	23	20	23	22	22	24	20	21	0	22	22	22	21	17	14	19	21	14	13	19	14	17	16	19	20
25	20	23	22	23	20	21	20	21	24	21	21	17	0	21	18	18	19	11	14	22	13	11	16	12	13	17	15	17
34	26	27	27	23	19	22	24	24	23	18	21	16	20	0	22	18	18	13	18	19	14	11	18	10	12	14	16	19
37	29	24	30	26	22	24	22	24	24	18	23	22	19	25	0	18	14	15	17	18	15	12	21	13	15	16	15	18
31	26	27	22	24	21	25	22	20	20	21	20	16	18	22	17	0	19	13	19	19	10	11	17	15	13	13	15	17
23	17	19	17	19	17	18	17	16	20	19	17	14	20	16	13	15	0	11	11	19	10	11	14	12	10	12	15	16
17	17	17	15	14	14	15	13	14	14	15	13	14	12	14	12	14	9	0	10	11	9	13	16	11	8	12	15	12
34	31	26	25	23	27	23	20	20	20	22	21	18	16	24	21	19	10	13	0	14	11	10	17	13	20	14	17	16
28	20	25	24	19	19	25	23	20	22	19	18	15	21	20	18	16	17	10	11	0	13	11	15	12	9	14	15	19
21	19	19	18	15	20	19	12	18	15	19	15	14	14	14	16	12	10	11	10	15	0	12	17	9	11	14	15	12
14	12	13	14	11	12	13	11	12	11	13	11	12	11	10	9	10	9	12	5	11	6	0	12	9	6	8	12	10
30	25	24	22	16	17	22	13	18	15	16	17	13	10	15	18	14	10	12	15	10	8	11	0	12	11	9	13	11
17	13	14	13	13	13	11	12	13	12	13	13	12	12	12	10	11	10	9	10	11	9	11	13	0	8	11	11	12
27	24	24	21	19	21	20	19	16	17	16	18	16	15	17	17	20	16	10	19	14	12	8	15	13	0	13	14	14
23	23	20	23	20	17	18	16	18	19	16	16	13	15	18	16	16	12	11	12	15	10	10	15	10	8	0	14	13
21	17	21	19	15	15	17	16	18	13	15	17	16	12	16	11	17	10	17	8	13	7	12	17	11	8	12	0	14
23	20	26	26	24	21	24	28	21	19	18	22	19	19	23	17	17	18	12	15	22	9	13	18	12	13	14	17	0
