45
0	33	35	33	27	30	34	37	37	32	30	26	32	26	35	35	25	35	33	27	28	23	25	23	33	21	17	20	28	25	20	25	27	19	24	23	20	19	16	20	23	23	18	18	22
29	0	29	28	23	28	32	34	26	27	25	24	30	22	29	32	24	27	25	26	24	21	22	19	24	18	17	13	21	20	15	28	21	19	20	23	18	15	15	15	23	17	14	16	14
35	33	0	33	25	31	33	32	32	33	26	25	31	24	27	33	24	27	30	25	26	23	23	20	29	22	16	19	26	21	17	28	29	17	20	23	19	18	16	16	25	22	17	17	19
32	28	34	0	37	26	29	31	33	37	26	26	24	23	28	41	21	27	27	24	22	28	23	21	26	27	16	20	22	21	19	30	30	21	21	20	18	18	16	17	21	20	19	16	15
25	22	30	33	0	18	24	23	26	30	21	21	22	17	23	34	23	24	20	19	20	23	19	18	21	23	15	18	16	17	16	25	29	19	19	15	15	15	13	12	14	17	15	11	15
31	30	30	27	21	0	31	30	27	26	27	26	25	22	25	29	22	27	25	23	27	22	25	22	25	18	18	16	23	23	18	20	24	18	22	20	19	16	16	18	24	17	16	19	16
36	29	36	27	23	30	0	32	33	28	26	26	28	23	29	32	22	40	34	24	26	21	25	22	30	20	19	25	24	23	19	20	25	18	22	20	20	15	15	18	21	19	19	15	17
33	26	31	29	24	30	33	0	27	29	26	26	30	23	28	35	25	30	26	25	23	21	22	20	30	20	14	18	26	23	18	20	23	21	23	19	19	18	14	17	21	17	17	16	16
40	30	39	34	31	27	32	31	0	36	24	24	27	25	31	37	23	34	31	27	24	25	22	21	32	20	15	22	23	25	17	22	28	18	22	19	17	16	13	18	21	20	18	13	22
31	26	33	34	32	21	27	24	35	0	24	22	25	23	28	34	21	28	23	19	22	26	20	19	20	18	17	13	21	18	13	26	24	18	21	16	17	14	14	11	20	15	14	14	15
27	23	31	33	26	21	27	27	25	25	0	24	24	23	24	30	22	25	25	24	22	22	23	21	21	20	16	15	23	19	17	20	24	23	19	20	17	16	16	15	15	19	15	17	12
25	25	24	26	21	25	26	24	25	21	23	0	21	21	21	26	20	23	22	20	23	18	21	21	22	17	14	18	22	21	18	20	20	17	20	20	17	17	16	14	17	17	16	17	12
32	28	30	29	19	28	32	35	29	29	24	24	0	22	29	30	24	28	26	24	23	19	22	21	28	18	16	16	24	22	16	21	24	18	20	22	18	16	16	15	21	17	16	15	16
25	24	24	23	17	20	25	21	25	24	21	21	22	0	20	25	18	23	23	22	19	20	18	18	18	17	15	13	16	18	14	17	18	16	17	18	16	12	13	13	16	15	9	13	12
31	30	27	26	23	26	29	28	29	27	24	24	27	22	0	30	24	29	26	25	24	21	19	19	24	20	14	14	22	21	16	22	23	17	19	17	17	16	14	16	20	16	16	17	14
30	28	32	35	31	25	32	28	27	33	25	24	27	22	27	0	23	28	28	22	23	26	23	19	27	20	19	16	20	19	19	31	28	27	20	21	20	17	15	15	20	17	16	18	15
25	24	25	26	22	22	26	26	24	20	21	22	24	16	22	26	0	25	21	19	21	18	22	20	24	17	12	18	21	19	18	20	21	15	16	17	17	18	13	18	17	18	16	15	14
34	22	29	23	18	26	35	26	34	21	23	21	24	20	25	24	21	0	27	21	22	20	22	20	26	20	12	22	21	20	18	15	19	15	17	16	18	17	12	17	16	19	17	13	18
36	26	28	25	20	25	34	28	32	25	24	22	25	24	28	30	22	34	0	24	23	20	23	19	26	17	14	18	23	24	16	19	22	16	20	18	16	16	15	15	18	20	15	15	15
31	29	32	30	23	25	29	26	28	26	26	23	25	23	28	32	24	26	27	0	23	23	21	19	24	21	13	16	20	23	15	27	24	16	17	18	17	16	16	16	22	19	16	16	14
27	27	26	25	17	23	28	25	23	21	25	25	22	20	25	27	23	26	25	20	0	18	23	20	22	17	14	14	20	20	17	18	21	15	20	19	17	16	15	15	22	17	14	15	13
23	23	26	24	26	18	27	22	24	28	20	17	20	19	22	29	18	23	21	19	18	0	16	15	19	15	14	14	17	18	13	22	22	16	18	15	16	13	12	12	19	15	12	13	14
22	23	23	21	19	22	22	22	20	19	21	22	21	19	20	22	20	22	20	18	20	17	0	20	22	16	12	16	22	18	17	18	19	15	20	19	16	16	14	13	16	16	13	13	12
23	20	19	21	16	21	21	18	19	14	22	20	20	17	18	19	19	22	21	17	20	15	20	0	19	17	12	15	18	17	19	17	18	14	18	19	15	15	14	14	14	17	14	13	12
31	26	30	26	19	24	27	28	28	23	21	23	25	19	25	28	23	29	26	21	23	18	22	19	0	18	14	20	23	21	18	21	21	15	19	17	19	17	16	15	23	19	18	15	17
27	21	25	26	26	19	24	22	21	23	24	18	21	15	20	28	23	22	22	19	17	19	19	17	21	0	12	17	20	18	17	18	21	18	19	17	16	14	16	18	15	21	16	12	12
20	19	17	17	15	18	22	17	18	16	17	18	18	15	19	17	14	19	19	15	15	14	15	17	17	10	0	11	14	14	13	18	12	14	15	15	15	10	11	9	13	11	10	11	14
22	18	20	20	15	19	28	20	21	18	19	18	18	17	20	18	20	24	23	16	20	15	17	16	20	18	12	0	19	17	15	13	18	13	18	14	15	16	13	16	14	17	16	12	13
27	22	23	24	22	25	26	25	20	21	22	24	22	19	23	23	21	24	23	19	25	16	21	19	21	18	16	15	0	20	17	17	20	15	22	19	17	17	14	16	17	18	16	15	13
25	22	24	22	20	21	24	26	20	22	20	20	21	19	23	24	20	25	20	19	21	17	18	16	23	16	13	16	23	0	14	17	17	14	19	16	18	15	12	14	21	15	15	14	13
18	14	15	17	14	14	15	14	14	12	16	14	13	12	12	13	17	13	14	14	13	11	17	15	15	16	7	14	16	13	0	11	16	9	12	12	11	13	12	14	9	15	12	11	7
19	23	24	26	26	22	21	23	23	26	19	19	24	16	21	27	20	19	15	19	19	25	19	17	20	14	13	11	16	16	14	0	23	18	16	15	14	13	14	13	19	12	13	13	12
27	26	32	33	28	22	29	25	26	32	21	23	26	19	26	33	25	27	25	21	23	21	22	18	28	19	14	19	23	20	17	25	0	14	18	20	18	19	15	16	22	18	16	15	15
19	19	17	22	19	18	19	20	16	17	20	17	20	15	15	30	16	20	18	16	13	19	17	15	19	13	15	11	13	14	14	17	17	0	15	15	17	11	11	11	15	12	11	12	11
21	19	20	21	18	18	22	19	19	17	19	20	20	19	17	20	20	21	19	17	21	17	18	17	21	16	14	13	17	17	15	15	19	15	0	17	16	14	13	14	15	16	11	12	11
21	23	22	18	15	21	19	20	18	17	18	19	19	18	20	22	17	21	20	21	17	16	18	16	20	11	12	12	17	19	14	17	18	15	17	0	17	14	12	10	17	13	12	14	11
17	16	16	18	15	19	15	17	16	15	17	17	17	15	15	20	13	15	14	14	15	15	17	15	16	9	12	11	15	15	12	15	13	17	13	14	0	11	9	9	12	10	10	14	10
18	15	15	16	15	17	18	16	16	13	15	16	14	13	15	15	17	18	16	13	18	14	17	16	17	15	9	16	17	15	15	12	16	9	14	13	13	0	12	15	11	15	14	13	8
19	16	15	16	14	18	16	17	17	13	15	16	13	14	14	16	16	17	16	13	14	11	17	14	16	14	10	13	17	16	15	12	14	10	14	13	12	12	0	15	12	13	13	13	7
20	14	17	18	16	15	18	18	15	14	17	17	15	11	15	16	19	16	14	14	14	12	18	15	17	16	9	14	17	15	15	12	15	8	14	12	12	13	14	0	10	15	13	10	8
20	20	25	20	16	19	20	20	18	18	17	18	18	16	22	24	18	18	18	17	18	16	16	14	20	10	13	11	18	18	12	19	18	15	16	14	16	13	12	10	0	10	11	12	10
21	15	15	17	16	17	19	18	15	13	17	15	16	10	17	18	19	21	17	14	15	10	17	14	21	17	7	16	16	14	14	12	19	8	14	12	12	14	11	16	11	0	12	12	7
16	13	11	12	14	12	15	13	11	11	12	12	11	12	11	14	15	15	16	11	15	9	15	12	14	12	7	13	14	13	13	9	13	8	12	10	10	13	11	11	9	14	0	11	6
18	16	17	17	16	16	17	15	17	14	17	17	16	15	14	18	15	16	17	15	16	13	17	16	17	12	13	12	15	15	14	13	15	14	16	16	16	12	11	11	12	12	10	0	11
24	15	17	18	13	13	14	20	23	19	15	11	19	9	15	17	14	19	14	11	10	13	12	11	21	11	10	10	11	13	11	12	10	12	12	10	11	8	10	9	12	9	9	10	0
