32
0	35	29	28	37	34	31	23	27	20	27	24	28	26	24	10	12	25	20	27	20	16	23	23	16	13	23	17	18	13	13	14
40	0	28	23	30	29	21	24	23	17	31	25	28	29	21	8	11	20	18	24	15	9	25	21	15	13	27	14	16	10	10	7
26	27	0	19	25	22	21	22	20	17	20	20	20	22	18	7	10	15	18	14	15	5	18	20	8	5	17	6	15	3	8	8
28	24	19	0	24	23	21	17	18	19	24	20	21	20	20	6	9	19	15	20	14	8	17	20	11	5	17	12	16	9	10	7
36	30	26	21	0	27	27	24	20	20	23	21	20	25	22	9	10	19	18	23	16	14	20	21	12	8	18	11	16	10	13	11
31	26	23	23	31	0	24	20	19	19	23	19	21	22	20	8	11	21	17	20	18	15	17	20	11	7	20	14	16	13	11	11
30	24	21	21	24	23	0	18	17	17	19	19	22	22	19	9	9	17	14	20	14	9	18	19	11	3	18	8	16	9	8	10
25	21	19	19	23	22	19	0	20	17	17	19	18	18	16	5	9	16	16	16	14	6	16	17	8	6	15	8	14	4	8	7
25	23	20	17	25	20	18	20	0	17	15	15	15	15	17	3	9	14	16	13	14	5	15	14	9	4	14	5	14	4	10	7
19	18	17	19	17	18	16	18	18	0	18	18	16	17	18	4	9	14	13	15	13	4	15	18	6	4	13	7	14	4	8	7
31	28	22	24	24	22	19	19	21	19	0	18	23	19	19	6	8	16	16	16	14	6	20	20	10	13	17	11	15	4	8	6
24	23	20	18	23	21	18	19	18	16	18	0	16	23	20	5	9	19	14	16	14	8	18	19	9	4	15	7	13	6	9	8
30	24	23	22	22	21	19	16	18	15	23	19	0	19	17	6	7	17	12	14	12	8	17	19	11	7	21	10	15	5	9	6
28	24	17	20	20	21	18	19	17	18	18	20	19	0	20	5	11	15	17	14	17	7	17	20	8	3	17	5	12	6	10	8
23	21	20	17	23	21	17	19	18	18	15	17	15	16	0	4	10	15	14	14	15	4	17	14	10	5	13	7	14	5	9	8
8	7	5	6	7	7	6	4	3	3	6	5	4	5	4	0	1	4	2	5	2	4	4	2	2	4	5	4	2	5	2	3
11	14	9	8	12	12	9	9	9	8	8	8	8	12	9	3	0	8	7	5	11	3	8	12	4	2	6	3	5	3	4	4
23	19	18	18	23	22	19	15	14	16	16	16	17	18	17	7	8	0	15	16	15	12	15	15	13	5	17	8	13	8	12	7
21	18	17	16	17	17	14	14	16	15	12	15	17	15	15	3	7	14	0	10	9	3	14	13	7	4	11	6	13	2	5	6
26	17	15	18	23	22	19	17	13	13	17	18	13	16	14	6	6	16	12	0	14	15	15	13	12	6	16	15	13	14	10	11
22	20	13	16	20	21	16	15	15	15	14	15	16	18	14	5	12	14	14	11	0	10	14	16	9	3	12	3	10	7	8	5
19	10	7	9	17	14	12	7	5	6	7	9	6	8	8	6	4	11	5	18	8	0	4	6	9	3	11	9	5	14	7	8
22	25	21	17	19	20	14	16	16	14	14	19	18	18	17	4	7	15	10	14	12	5	0	15	7	5	16	8	13	6	5	5
25	23	20	19	25	22	18	18	19	16	20	17	20	19	18	5	9	17	14	14	13	6	19	0	8	5	13	7	13	4	6	5
18	17	10	11	15	16	12	11	9	9	13	11	11	9	12	5	5	13	7	15	8	8	10	8	0	9	12	9	7	8	11	6
12	13	6	6	5	6	3	6	7	4	12	3	9	4	3	3	1	2	1	7	3	1	6	5	6	0	4	9	2	2	5	1
23	14	17	15	19	18	15	14	13	12	13	13	16	15	13	3	5	16	13	12	9	8	9	10	10	3	0	7	13	7	8	7
16	11	7	10	11	13	9	7	6	5	10	9	7	6	6	7	2	6	4	14	6	9	8	5	9	12	9	0	5	9	6	8
17	16	17	15	16	16	15	13	14	13	16	15	16	15	14	3	5	12	13	10	9	3	14	14	5	3	11	5	0	2	5	6
16	8	5	9	16	13	12	6	3	4	5	7	6	7	5	5	2	11	2	15	9	15	4	6	10	2	9	8	3	0	6	8
6	6	5	5	10	11	10	5	4	4	5	4	4	5	6	3	5	8	3	8	8	4	5	4	8	3	3	4	3	6	0	4
14	9	6	9	12	10	11	6	7	6	9	8	6	7	8	4	3	8	6	8	7	4	5	5	5	1	3	6	6	6	4	0
