47
0	24	25	30	26	23	19	25	24	22	26	23	25	26	26	28	23	19	18	17	23	24	19	26	18	19	24	22	20	22	21	18	24	13	22	22	19	20	15	18	17	17	20	14	12	15	23
27	0	22	26	23	23	19	23	23	19	23	23	21	22	22	22	19	20	20	16	22	20	19	21	19	17	21	21	18	19	20	17	20	15	20	19	16	15	13	15	18	14	20	14	11	14	20
22	22	0	23	23	23	17	20	21	19	22	21	20	20	21	21	19	19	15	17	20	19	18	22	16	18	20	18	16	18	18	16	20	13	19	18	13	18	13	15	15	16	15	14	12	15	20
30	26	25	0	29	24	22	25	26	22	25	24	24	25	25	30	22	20	19	19	24	22	19	25	23	19	27	25	20	21	20	20	22	15	22	19	18	22	16	22	21	19	24	14	15	19	21
22	24	22	25	0	23	19	21	25	21	22	23	22	25	25	25	17	20	15	16	22	22	17	23	23	18	22	19	16	20	19	17	23	14	23	18	16	22	13	15	16	17	17	14	11	14	20
26	24	24	26	22	0	18	21	23	21	24	22	22	24	22	23	19	18	18	16	22	19	19	21	20	18	21	19	20	20	19	15	21	15	20	20	16	18	14	17	19	17	16	14	12	15	21
20	18	21	28	23	21	0	19	22	16	20	18	16	21	19	20	17	21	17	17	19	18	14	18	20	16	19	16	16	16	17	17	18	15	15	15	13	19	15	15	14	20	14	14	15	13	16
25	20	21	27	22	22	21	0	22	20	23	21	23	23	22	26	21	19	16	17	24	19	19	21	19	18	25	19	20	20	21	16	20	17	20	17	17	19	16	17	17	18	17	13	15	14	18
23	22	23	27	26	23	19	22	0	21	24	23	22	26	22	25	19	21	18	17	24	18	18	19	22	18	22	19	19	20	18	16	20	14	20	19	16	19	13	14	15	19	17	14	13	15	18
21	21	21	22	20	20	15	20	21	0	21	20	21	21	21	19	19	18	17	16	18	17	17	20	16	16	19	17	18	20	18	15	19	13	20	18	15	13	12	15	16	14	17	13	12	14	18
22	20	21	28	22	20	20	24	23	21	0	22	22	24	21	23	19	22	17	17	23	17	17	19	20	18	22	18	19	21	18	17	20	15	20	18	16	18	16	16	17	17	16	14	16	15	18
23	22	23	22	24	24	15	22	22	20	21	0	22	24	22	22	18	18	17	17	25	21	19	21	18	19	23	18	18	21	19	16	21	13	19	18	17	17	13	13	18	16	16	14	12	15	20
26	22	23	25	26	23	18	22	22	21	22	23	0	25	25	24	19	19	16	16	24	22	18	23	17	19	24	18	18	21	19	17	23	14	22	18	15	16	13	14	16	15	16	14	11	14	21
23	23	24	25	24	23	18	21	22	20	21	23	22	0	23	25	18	18	18	16	21	19	18	20	19	17	22	16	16	19	19	17	21	14	21	20	15	17	15	12	15	16	14	14	13	13	21
24	21	23	22	22	21	15	21	22	22	22	21	23	25	0	21	17	17	17	16	20	19	19	22	16	18	22	17	17	19	19	15	21	12	20	18	15	14	11	10	16	15	15	14	11	14	20
27	27	22	33	29	22	23	25	26	20	22	23	25	29	24	0	21	25	19	17	30	23	19	25	16	17	24	21	17	20	19	18	25	19	21	18	16	22	18	15	18	19	18	13	15	18	18
21	17	19	23	19	18	16	21	17	17	19	17	19	19	17	21	0	17	15	14	19	15	13	18	16	14	17	18	16	14	18	15	18	13	14	15	11	19	14	11	17	16	14	13	13	15	15
18	18	19	25	23	21	21	18	25	17	19	21	17	22	17	21	18	0	17	15	22	15	12	16	19	15	18	17	16	17	16	17	18	16	16	16	14	18	14	13	18	18	16	14	14	17	16
20	17	19	18	17	18	15	17	17	17	18	17	18	19	18	18	14	15	0	14	17	16	14	17	15	15	16	14	15	16	16	15	17	13	16	15	11	14	11	10	14	15	13	14	11	14	17
18	16	17	19	18	16	14	16	16	14	16	17	16	16	17	17	13	16	13	0	18	16	12	17	16	16	13	14	13	11	15	13	17	14	12	13	8	15	12	11	12	15	14	12	13	13	14
26	23	21	26	24	22	18	24	19	20	19	20	22	25	19	26	19	19	16	13	0	19	17	22	17	14	16	19	16	16	20	15	21	14	16	18	13	18	16	12	18	15	18	12	12	14	16
22	23	21	24	24	21	14	22	23	19	21	21	22	23	23	25	16	17	16	14	21	0	17	23	17	17	20	17	17	18	18	16	24	13	20	17	13	15	11	11	14	15	16	14	10	13	19
