53
0	33	34	33	32	25	21	26	23	25	19	24	24	21	19	22	25	21	25	24	22	25	25	27	19	18	24	18	22	16	23	21	20	20	22	23	18	18	20	18	17	20	20	17	16	20	19	21	16	19	17	14	18
32	0	29	33	35	21	13	19	20	20	17	19	18	14	15	17	22	18	22	16	19	21	18	23	15	12	26	12	18	11	23	12	14	13	16	17	13	14	17	13	9	16	13	12	11	12	13	19	11	19	12	10	11
32	29	0	32	29	24	18	24	21	22	19	21	22	21	20	21	24	21	25	22	19	21	24	22	17	19	26	16	20	16	20	21	18	18	20	24	17	17	19	17	15	18	19	16	15	18	19	18	16	21	16	15	17
30	36	30	0	35	23	20	26	24	22	25	22	26	21	22	22	26	25	29	20	24	23	24	23	19	21	25	16	21	18	23	23	21	19	23	24	18	17	21	21	16	20	21	17	15	19	19	20	15	24	15	15	18
34	36	31	35	0	25	18	25	25	24	20	25	23	22	22	22	24	22	29	20	24	22	23	25	17	21	30	16	19	16	25	21	20	21	22	25	17	19	20	19	15	18	20	17	15	19	20	22	16	20	16	13	18
25	25	28	29	22	0	17	22	18	20	20	19	22	19	16	21	19	20	30	18	17	19	20	20	16	15	19	16	19	14	17	18	18	17	19	21	16	16	21	16	15	16	16	16	16	16	15	17	16	17	15	15	15
19	16	18	19	18	16	0	18	19	18	16	17	16	17	16	18	18	16	18	16	17	18	16	19	16	16	18	14	17	14	18	17	16	17	18	18	14	14	16	15	14	16	16	15	14	18	16	18	15	15	16	12	17
29	21	21	23	22	20	19	0	22	20	18	21	19	19	19	22	22	20	22	20	20	21	18	24	15	17	19	14	18	15	20	19	20	19	20	19	16	14	18	19	16	19	20	17	16	18	17	18	14	19	15	15	18
27	23	22	25	27	21	20	24	0	20	19	22	22	20	21	20	24	21	23	20	22	22	22	23	18	19	22	14	17	16	22	23	19	20	21	23	16	16	17	19	16	19	19	16	14	19	17	20	15	16	16	12	17
23	17	22	24	22	19	15	21	19	0	16	21	18	19	16	17	21	20	21	17	16	16	17	14	16	16	17	14	17	14	18	19	17	19	19	19	16	13	19	16	12	17	17	16	13	16	15	18	12	16	12	11	16
24	21	23	26	24	20	18	22	19	20	0	20	24	16	15	20	18	20	20	20	19	16	17	19	17	17	19	16	19	16	16	17	15	16	18	20	17	14	18	15	13	16	17	16	16	18	17	18	15	18	16	12	17
26	21	24	24	25	20	19	22	21	21	18	0	19	20	19	21	22	21	22	18	20	18	21	18	15	15	20	14	17	15	21	21	20	19	21	20	16	13	18	17	13	18	18	15	13	18	16	20	13	16	13	12	18
25	23	27	27	23	23	18	23	18	17	25	18	0	17	17	20	20	20	23	19	19	19	20	21	14	19	21	16	21	17	18	19	19	18	21	19	19	15	19	20	13	17	20	17	13	17	14	19	11	20	13	12	17
20	16	19	21	21	19	19	20	20	20	18	20	20	0	17	20	19	21	21	16	17	19	20	17	14	17	18	14	15	16	19	19	20	20	20	22	16	17	17	19	13	20	19	15	13	18	15	19	14	15	14	13	17
21	18	20	21	19	17	17	20	21	19	18	19	19	17	0	18	19	20	23	16	17	17	19	19	15	17	19	14	16	14	19	21	18	18	20	21	15	13	17	16	14	16	16	14	12	18	15	18	14	15	14	12	17
22	19	20	20	19	17	21	21	19	17	17	18	16	18	16	0	19	17	20	19	20	18	17	19	16	14	20	13	18	14	18	18	15	17	20	18	15	14	16	16	13	14	17	15	14	16	16	18	15	16	16	13	17
25	20	23	27	24	19	19	23	21	22	20	21	19	19	19	20	0	21	22	18	18	19	20	19	16	17	21	15	17	16	20	21	20	19	20	22	18	14	19	19	16	20	19	16	14	19	17	18	16	17	15	12	19
21	19	21	22	20	18	18	21	20	20	19	20	21	19	17	19	20	0	19	18	17	20	17	17	15	18	18	15	18	17	18	18	19	20	21	18	19	16	18	18	14	20	18	16	13	18	16	18	15	16	14	14	17
28	24	27	24	24	25	18	24	23	22	20	22	22	21	20	21	23	22	0	19	19	20	21	24	17	17	21	15	20	16	20	22	19	20	20	24	17	16	21	18	16	18	18	16	15	20	17	20	17	17	16	14	18
25	19	27	22	21	20	15	20	16	19	17	16	15	14	16	17	16	18	21	0	14	13	14	18	17	15	18	17	17	13	16	16	14	15	16	15	12	14	17	14	13	14	14	15	14	15	18	15	13	15	15	12	15
