33
0	33	39	34	25	41	20	39	22	20	25	24	18	22	20	30	20	21	18	24	29	19	8	22	22	13	4	10	21	22	16	17	20
34	0	28	26	24	27	20	26	23	20	23	22	18	20	14	23	17	20	17	25	25	21	3	20	20	12	3	10	19	19	15	14	19
40	31	0	22	27	34	21	37	21	19	23	23	18	20	19	24	17	20	19	23	34	19	7	22	17	13	6	10	23	20	15	17	21
29	24	27	0	28	28	21	28	24	20	21	21	21	18	18	21	17	17	19	22	23	19	8	21	18	15	3	11	20	19	16	15	18
29	24	25	23	0	25	19	25	23	18	22	20	20	15	13	18	15	18	16	27	23	20	4	15	15	10	3	9	18	18	15	10	19
40	30	36	25	23	0	21	35	22	18	19	21	19	18	20	19	17	18	17	24	23	21	5	20	18	11	4	9	21	19	13	15	18
24	23	20	23	20	23	0	20	21	19	17	18	20	14	14	16	15	20	16	21	19	20	3	16	15	11	1	9	20	18	13	13	21
37	24	33	25	21	31	16	0	16	16	19	17	15	17	16	25	14	15	16	19	23	15	8	16	17	10	4	8	20	17	14	16	15
24	24	24	22	26	24	20	20	0	19	21	21	19	16	14	17	15	17	18	23	20	22	3	19	15	10	3	9	19	16	16	13	18
20	19	18	20	17	18	18	16	19	0	16	19	15	15	13	12	12	16	14	17	16	18	2	16	16	11	1	10	18	16	13	11	16
27	20	24	21	20	21	19	23	20	18	0	20	16	15	15	19	14	17	15	19	21	19	4	15	16	13	3	9	17	16	14	13	18
23	24	25	23	19	24	21	20	19	18	19	0	15	17	14	14	15	17	19	18	21	18	2	16	19	11	2	11	21	16	12	13	20
21	21	17	20	22	23	17	17	19	17	15	16	0	15	13	14	14	17	15	22	16	20	2	17	14	11	2	8	19	16	15	12	16
23	21	20	21	20	23	19	19	19	18	17	19	18	0	14	15	16	18	16	17	19	17	2	18	18	11	2	11	19	17	13	12	19
20	18	19	19	18	20	14	14	15	14	11	17	15	14	0	16	12	15	11	15	15	13	3	18	13	10	4	9	15	12	12	12	15
29	23	21	30	20	22	18	23	20	15	17	17	18	16	15	0	16	17	15	21	19	16	9	17	16	10	2	11	15	13	15	19	18
20	18	15	20	15	17	15	16	14	13	14	15	14	12	11	15	0	14	16	14	14	14	2	15	14	13	1	9	12	13	13	12	13
20	21	17	19	21	20	20	15	17	16	16	16	17	13	11	12	13	0	14	19	18	20	2	13	12	10	1	8	19	17	14	11	17
19	17	19	20	14	17	14	16	15	16	15	20	12	15	14	16	15	13	0	15	17	16	3	14	16	11	3	11	14	13	13	11	14
27	24	21	23	22	23	20	21	20	17	17	17	19	15	11	20	13	18	13	0	17	19	4	17	14	10	1	8	18	15	15	12	17
31	25	26	22	25	27	20	26	19	18	22	20	14	15	14	17	11	19	16	22	0	19	4	14	13	11	4	7	20	19	11	14	17
24	21	20	22	20	22	20	19	21	18	16	19	17	15	13	14	14	19	15	20	18	0	3	15	14	11	1	8	19	17	14	12	16
6	3	6	6	3	3	2	6	2	1	4	2	2	1	1	6	4	1	1	4	1	1	0	4	0	1	5	0	1	1	2	1	2
24	19	23	21	18	22	17	20	17	17	15	17	17	17	14	16	15	17	17	20	16	17	5	0	17	12	4	11	17	16	17	12	18
19	17	18	20	14	19	15	15	14	14	11	16	12	15	10	10	13	11	15	14	14	13	2	13	0	10	2	11	13	12	10	7	14
12	13	12	15	13	13	12	11	12	12	10	13	12	11	9	10	12	13	13	11	11	12	3	12	11	0	2	9	14	12	11	10	11
6	5	7	3	4	3	1	5	3	2	3	5	2	1	3	4	1	2	2	4	4	2	3	3	1	2	0	1	4	1	2	3	1
11	11	10	11	9	11	10	10	9	11	8	9	9	9	10	9	8	9	12	8	9	9	1	10	11	7	0	0	9	8	7	7	10
22	23	20	21	21	21	19	19	19	18	13	20	15	13	13	14	12	19	16	18	18	17	3	14	14	11	3	7	0	16	12	12	15
20	18	19	18	17	19	16	15	16	16	14	17	15	15	13	14	11	15	15	17	16	14	4	17	15	11	3	8	17	0	12	12	16
16	15	17	15	15	16	15	11	14	12	11	13	14	13	10	13	13	15	14	15	13	15	3	14	11	10	3	7	14	12	0	12	14
16	14	15	15	13	17	12	14	14	11	7	10	14	11	11	16	13	14	9	12	10	11	3	13	10	9	2	7	12	9	13	0	12
21	20	19	18	16	20	18	18	18	18	15	17	15	14	13	15	13	16	15	17	16	18	2	16	16	10	1	9	17	17	13	12	0
