24
0	33	37	35	32	27	32	24	22	18	25	24	33	21	22	20	28	19	21	19	22	14	23	19
30	0	32	28	35	24	26	24	22	17	25	23	26	20	21	21	23	17	16	18	22	14	18	18
31	28	0	39	31	26	29	22	22	18	25	24	33	23	19	19	27	19	18	16	22	13	18	16
33	32	33	0	34	26	29	23	23	18	24	25	30	19	20	25	31	23	24	18	19	16	18	18
32	31	32	34	0	22	29	20	20	19	21	20	29	20	19	21	22	21	19	18	25	15	19	16
26	26	24	27	29	0	25	20	19	17	21	19	25	18	17	19	18	14	14	17	18	12	15	13
29	23	29	27	29	22	0	20	19	18	20	22	30	18	17	21	19	15	15	17	18	13	15	14
20	21	23	20	20	18	19	0	17	16	19	15	21	18	16	13	16	14	12	14	16	8	15	14
23	22	22	22	22	21	20	19	0	13	22	19	18	17	15	13	18	15	13	15	17	10	14	13
18	17	16	18	19	13	16	14	14	0	15	13	18	14	15	12	14	14	14	13	15	11	12	11
24	24	24	26	26	23	21	19	19	17	0	20	22	20	15	16	19	15	13	17	19	12	19	14
23	21	25	26	24	22	26	16	18	13	19	0	24	17	13	18	18	14	13	15	19	11	13	10
33	26	31	33	32	23	32	23	20	18	21	20	0	19	21	22	21	18	18	18	19	13	15	14
20	20	22	22	17	21	19	18	19	14	20	19	19	0	12	14	16	14	11	14	16	9	15	12
23	19	20	21	22	17	16	15	15	14	19	11	20	15	0	14	14	13	14	13	20	11	13	12
23	20	20	23	25	18	18	18	18	16	19	16	19	16	15	0	15	15	14	12	16	7	11	11
25	21	22	26	24	18	18	17	17	16	16	13	21	14	16	15	0	20	19	15	16	13	17	12
20	18	21	21	18	16	17	18	18	14	16	15	16	16	15	11	16	0	16	13	18	11	15	14
23	17	20	19	21	13	13	13	14	13	14	10	20	10	12	8	24	13	0	14	15	12	9	9
18	21	19	19	18	17	13	16	15	15	19	13	15	17	15	11	12	13	12	0	16	9	16	12
21	20	20	24	23	17	15	17	15	14	17	14	24	14	16	17	17	17	17	13	0	12	9	13
14	12	12	14	16	10	8	9	7	10	10	8	12	8	6	4	14	11	14	11	11	0	7	7
19	19	22	22	16	18	18	14	15	11	17	16	16	19	10	12	15	8	10	11	13	7	0	9
17	17	17	17	16	16	16	16	16	12	16	13	16	15	15	11	13	15	10	15	15	9	13	0
