26
0	25	27	24	24	23	19	22	20	18	16	22	21	17	21	19	19	15	22	16	18	18	13	23	19	16
26	0	25	28	28	23	24	23	22	21	18	24	21	18	22	21	19	16	22	17	18	18	14	21	19	19
25	28	0	26	34	24	18	21	23	22	19	23	21	19	24	19	19	15	20	14	18	19	13	25	18	17
26	28	23	0	29	23	23	21	21	21	18	21	21	18	22	19	18	15	20	17	17	17	13	21	19	18
28	33	30	27	0	22	23	22	23	23	18	23	21	17	24	18	17	15	20	14	16	17	13	25	19	18
25	25	23	24	27	0	25	19	19	21	17	17	18	19	18	20	17	15	19	13	16	16	13	20	17	14
24	26	20	22	22	22	0	17	18	20	12	16	18	15	17	19	16	11	15	12	13	14	10	17	11	15
21	19	19	20	20	20	18	0	20	17	15	18	18	17	19	13	18	15	19	16	17	16	13	20	18	12
25	22	23	20	23	21	17	21	0	18	16	18	19	15	18	17	18	12	21	13	14	16	11	19	14	14
22	26	22	21	25	22	23	17	18	0	15	20	17	17	19	17	17	13	18	13	14	16	11	19	17	13
17	24	21	17	23	17	15	16	13	13	0	17	18	13	18	14	14	12	11	11	14	11	10	17	13	11
19	19	20	21	20	17	17	18	19	16	14	0	16	16	16	13	18	14	17	16	14	16	11	17	16	14
19	26	21	20	22	17	16	18	19	17	17	19	0	16	23	13	17	15	17	13	17	16	10	19	18	15
22	22	17	22	21	18	20	18	19	18	16	18	18	0	18	16	16	13	16	14	15	14	11	17	17	13
21	22	22	21	21	17	17	20	19	17	18	17	23	17	0	13	17	14	17	15	17	16	12	20	18	16
18	20	15	20	19	21	23	17	14	15	11	14	13	13	15	0	13	11	13	12	10	13	7	15	11	16
16	17	17	17	16	17	15	16	15	16	15	15	15	13	15	12	0	13	17	13	14	15	12	15	14	11
14	17	17	15	18	16	14	15	13	13	15	16	14	13	15	13	15	0	13	13	14	12	11	15	13	11
20	19	21	19	18	19	17	16	18	17	15	18	18	15	16	14	17	13	0	14	16	17	13	17	16	15
16	16	16	16	15	14	13	16	13	14	13	15	16	15	15	10	16	11	16	0	13	14	10	14	15	11
15	18	17	16	18	13	15	16	16	15	13	16	15	15	17	11	15	12	14	13	0	14	11	16	11	12
14	18	16	16	15	15	14	16	15	15	13	16	15	14	15	10	15	13	13	12	14	0	12	16	12	11
12	14	13	13	15	13	13	12	11	12	12	12	11	11	13	11	14	9	12	9	14	9	0	14	10	9
19	21	19	21	20	16	15	17	15	17	13	16	19	15	18	13	16	12	15	13	13	15	10	0	14	13
18	19	19	17	18	16	14	18	15	16	13	17	19	15	16	13	15	10	16	14	15	15	9	17	0	12
17	16	15	17	15	13	12	11	13	13	10	12	13	13	12	11	12	8	14	9	8	10	6	10	8	0
