25
0	27	27	27	27	37	27	30	18	34	25	21	23	28	28	22	26	21	20	14	29	14	22	9	13
24	0	26	25	19	25	23	23	14	23	21	19	18	24	24	19	22	12	15	15	19	13	19	9	12
24	22	0	24	17	26	20	20	18	21	19	17	25	21	20	20	22	20	19	13	20	14	17	10	12
21	22	28	0	17	25	21	22	15	21	19	20	20	17	20	20	17	12	14	15	16	14	17	8	11
21	19	18	20	0	26	21	19	13	19	22	19	17	20	16	16	19	9	13	9	15	15	20	5	9
27	26	26	22	23	0	22	26	19	25	22	20	20	26	25	17	26	13	14	13	21	15	19	9	12
28	20	23	22	23	28	0	23	14	22	21	17	20	22	21	17	17	12	16	14	17	13	22	11	13
24	22	22	20	19	23	21	0	16	20	18	19	16	25	25	19	19	11	13	9	23	15	18	5	11
22	19	20	16	14	18	14	16	0	18	13	16	15	18	18	16	20	15	15	10	16	10	15	7	9
25	23	24	23	23	26	20	23	14	0	20	16	20	23	23	18	19	12	13	14	21	11	20	10	10
22	17	21	21	22	23	20	18	12	17	0	17	18	17	16	18	17	11	15	8	15	15	19	7	10
19	19	18	19	17	17	18	20	14	16	20	0	16	17	16	18	16	11	12	6	15	14	15	4	9
22	20	23	20	18	22	20	18	13	21	16	16	0	18	17	18	18	15	14	14	16	14	16	7	12
31	27	23	24	23	26	19	26	17	26	16	18	19	0	27	20	23	14	16	15	23	12	16	5	11
26	22	16	21	22	23	18	23	15	22	19	18	16	29	0	19	19	11	10	12	19	12	18	7	10
22	18	21	19	18	18	18	19	15	19	16	18	17	19	17	0	20	10	16	8	16	12	18	5	11
25	21	23	20	19	29	20	19	16	20	17	18	17	20	20	19	0	15	17	7	19	12	17	6	9
19	19	19	17	12	18	13	15	19	19	11	14	17	14	15	17	19	0	15	11	18	8	15	7	9
24	21	20	17	15	17	16	15	12	15	14	18	15	19	15	18	21	13	0	7	18	11	14	5	9
13	12	16	12	8	17	13	11	11	13	9	8	14	12	10	10	11	11	8	0	10	7	11	9	12
34	23	22	21	22	28	19	25	17	26	21	19	22	29	24	20	23	13	18	14	0	13	19	10	11
14	15	14	14	16	15	14	14	9	11	14	14	15	12	11	13	12	6	8	6	12	0	13	4	9
24	18	21	19	21	18	20	18	11	18	23	18	19	20	19	19	18	8	13	8	19	12	0	5	12
13	10	7	9	5	15	11	11	5	11	5	4	8	6	11	5	6	4	3	10	8	3	5	0	7
11	12	13	11	9	10	13	12	7	9	10	10	10	9	9	12	9	8	10	9	10	6	11	6	0
