22
0	24	27	20	24	23	24	22	25	21	19	25	20	18	19	22	11	19	28	20	18	21
21	0	27	22	23	27	23	22	26	22	22	23	19	18	19	18	12	17	24	22	17	24
26	23	0	22	24	23	25	25	29	20	18	25	18	20	24	20	12	19	32	22	17	21
16	19	21	0	21	18	21	24	22	18	17	17	16	19	19	13	11	13	19	18	15	16
25	22	22	17	0	20	20	18	22	20	20	21	18	17	19	19	11	18	24	18	16	18
22	23	21	19	21	0	20	21	22	16	16	23	17	17	17	17	11	15	22	17	15	21
20	22	23	23	21	22	0	26	24	19	18	20	20	22	20	18	13	17	26	17	17	20
20	23	24	21	22	22	26	0	27	20	22	20	18	21	23	18	12	18	25	18	16	21
22	21	24	21	20	21	24	22	0	20	20	20	19	19	20	17	10	18	25	18	16	19
20	20	19	18	22	18	19	21	21	0	19	20	17	17	17	17	11	18	18	17	15	18
20	19	20	16	20	15	18	16	22	17	0	17	15	14	19	14	8	14	18	16	14	19
22	25	22	22	21	26	21	20	23	21	18	0	17	18	16	14	8	14	18	20	16	21
18	19	18	18	19	18	18	17	17	18	17	20	0	17	15	16	11	16	19	14	16	16
19	17	20	17	19	14	19	22	21	18	16	18	17	0	19	16	11	16	19	15	15	17
19	20	20	16	21	17	20	20	20	18	20	15	14	15	0	14	8	15	20	16	14	18
24	19	22	16	19	16	19	17	21	17	15	17	17	15	17	0	11	16	20	15	16	15
11	12	11	11	11	9	11	12	9	12	9	10	10	8	8	8	0	10	8	9	9	10
18	17	17	15	19	15	18	17	19	19	17	16	15	16	16	13	8	0	14	15	15	16
30	25	31	27	28	23	30	29	30	21	21	24	21	23	24	21	10	17	0	23	18	21
20	17	19	19	20	17	17	15	20	16	15	17	14	16	16	14	9	13	18	0	13	20
17	19	17	17	16	18	18	18	17	15	15	18	16	14	15	13	10	13	15	12	0	15
22	21	19	18	23	20	19	22	24	21	20	20	17	18	21	16	10	15	21	23	15	0
