30
0	24	23	36	32	31	23	21	22	21	22	21	21	20	20	23	26	20	23	16	19	16	18	18	8	16	16	14	7	17
23	0	23	24	25	23	21	20	18	17	20	21	19	19	18	17	20	17	19	12	18	16	18	18	9	17	19	11	6	15
26	24	0	28	27	21	20	21	18	24	19	22	19	20	20	21	19	21	21	15	17	16	18	17	7	17	19	11	7	15
34	27	27	0	32	37	21	25	25	20	23	27	23	21	22	27	29	21	23	13	19	15	17	16	10	20	20	15	7	15
34	24	31	35	0	31	23	34	23	23	26	25	22	21	21	24	23	18	20	11	18	21	19	19	7	17	18	16	7	14
29	23	25	35	33	0	21	26	22	21	24	24	21	19	23	24	27	25	20	14	18	20	18	17	8	16	17	14	7	18
22	21	20	19	20	20	0	17	19	15	17	18	18	17	15	18	18	14	20	9	13	16	16	18	6	13	14	10	5	15
28	21	25	27	36	29	18	0	19	18	24	20	18	19	19	21	19	18	18	9	18	19	18	15	7	16	17	12	5	13
22	20	20	24	27	25	18	18	0	16	19	19	17	15	17	21	18	16	18	10	15	15	15	14	7	11	12	10	6	12
24	17	20	21	19	20	17	16	16	0	15	18	17	17	17	15	20	12	17	8	16	13	12	15	10	14	14	8	6	12
23	21	22	25	27	22	16	19	21	16	0	21	18	16	19	18	18	16	18	11	15	19	16	14	4	13	16	9	5	14
25	21	20	24	23	27	18	19	18	16	21	0	17	18	21	19	21	16	17	12	14	16	16	16	6	12	14	13	6	15
24	16	18	20	22	19	19	16	16	18	18	19	0	15	15	14	15	11	16	10	14	15	14	15	5	14	13	11	5	12
27	22	23	25	26	22	19	24	18	18	22	19	16	0	18	21	20	16	21	10	17	19	18	16	6	17	18	10	7	15
22	18	18	22	25	21	18	22	18	18	17	18	17	17	0	17	19	14	17	10	17	14	16	15	11	18	19	10	6	14
26	23	21	22	26	25	19	21	18	18	20	23	19	18	16	0	19	18	17	8	14	18	16	15	4	13	14	10	4	13
24	21	24	32	25	28	19	22	21	20	18	22	19	19	20	20	0	22	21	12	18	15	17	16	11	18	18	13	5	17
21	15	18	22	21	21	14	15	16	14	14	14	16	13	14	15	20	0	10	16	14	13	11	11	7	11	14	14	8	13
21	22	19	23	20	22	20	19	17	18	19	17	15	18	15	18	19	13	0	8	15	16	17	17	6	15	18	8	5	16
11	10	13	10	12	11	9	8	10	9	11	11	10	9	9	9	9	13	8	0	7	8	7	8	5	5	7	10	9	10
21	18	16	21	21	17	15	19	16	16	17	17	15	17	18	15	20	13	15	9	0	12	15	15	7	12	18	8	5	13
18	16	17	18	17	18	16	14	16	13	17	16	13	15	12	15	16	15	16	7	12	0	14	14	3	11	11	8	4	13
18	16	17	19	18	17	17	16	16	16	16	15	16	17	16	14	18	11	16	6	13	13	0	15	6	13	13	8	5	12
19	18	17	18	20	17	16	16	16	15	19	18	14	17	17	14	16	12	16	7	15	16	16	0	6	14	14	8	5	14
10	7	8	11	9	7	8	8	6	9	5	6	5	7	9	6	10	5	5	4	5	5	6	5	0	7	6	3	3	5
20	19	19	20	19	16	18	18	16	19	16	16	17	18	17	15	18	13	18	7	17	14	15	16	9	0	18	8	4	13
17	18	19	19	19	19	16	18	16	16	15	16	15	17	20	14	18	11	14	7	16	13	15	15	5	13	0	8	5	12
15	8	14	16	13	14	11	10	9	10	9	10	9	9	11	10	10	14	7	13	6	7	7	7	4	6	8	0	6	9
7	5	6	5	6	5	5	6	4	3	3	5	3	5	4	3	3	8	2	9	3	2	3	2	3	2	2	8	0	5
17	15	14	13	15	15	13	13	13	11	16	13	12	14	11	14	14	12	15	8	10	13	13	12	5	11	12	8	5	0
