44
0	39	32	31	37	33	36	31	25	32	27	31	35	32	28	26	30	19	26	29	24	23	34	18	23	19	23	24	22	26	18	22	22	18	18	22	21	18	18	20	21	21	14	21
39	0	35	36	33	42	47	33	22	32	27	45	36	34	33	28	37	18	24	29	22	34	49	18	20	18	20	22	20	25	17	26	18	17	17	21	21	18	16	17	18	19	12	18
28	34	0	29	28	27	33	21	21	28	25	28	32	26	22	26	27	18	22	24	21	22	32	17	21	18	20	19	20	21	19	18	19	15	15	16	14	16	18	20	18	16	13	15
32	41	32	0	29	27	28	22	23	29	26	37	31	26	26	25	27	19	21	25	23	27	34	17	23	17	18	21	21	20	17	22	20	17	15	16	15	18	16	18	17	17	13	15
36	38	31	29	0	34	38	33	22	28	24	29	33	29	28	25	28	18	25	28	22	21	36	18	21	20	22	22	23	25	18	19	19	17	19	22	18	18	18	19	20	21	13	18
36	41	28	26	37	0	44	38	20	28	29	28	30	32	27	25	30	18	21	23	23	24	40	17	19	15	22	21	19	22	19	22	20	18	18	25	27	18	16	18	22	24	12	19
35	50	27	31	37	36	0	50	21	30	27	30	33	34	35	24	33	17	22	25	21	21	41	15	19	16	25	21	19	24	15	22	18	19	17	21	21	17	15	15	18	21	10	16
33	34	25	26	34	33	46	0	20	25	27	26	28	29	29	22	24	17	21	23	19	20	36	13	17	15	23	17	17	23	13	21	18	18	16	24	27	17	15	15	20	22	9	17
24	26	22	22	26	22	25	22	0	23	20	23	23	23	21	21	23	17	20	23	21	21	24	14	17	16	17	18	16	19	17	17	19	17	13	17	15	17	15	14	16	16	9	14
30	31	25	27	27	26	28	24	23	0	23	26	26	28	20	21	25	17	22	25	21	22	26	16	20	17	16	19	18	22	15	18	20	16	13	17	17	17	16	19	18	16	12	15
27	28	22	21	27	25	27	23	19	24	0	22	24	25	19	19	20	19	19	21	21	18	26	15	19	16	19	19	17	19	15	17	19	16	16	21	19	16	13	17	20	18	12	17
30	40	28	34	27	31	29	21	20	25	22	0	27	26	24	25	28	16	20	25	19	28	35	16	17	16	19	21	19	18	14	24	17	14	15	15	13	16	16	16	15	13	11	17
33	38	29	33	31	32	30	28	23	30	26	31	0	29	24	27	26	21	23	24	22	24	36	18	23	18	21	22	21	23	20	20	19	18	19	17	15	15	17	18	21	19	13	17
34	36	23	28	26	29	30	23	22	26	23	27	28	0	21	23	28	18	20	23	22	20	29	13	19	15	17	20	17	24	18	17	19	18	14	16	15	16	13	15	18	18	8	14
31	34	25	28	31	23	34	25	15	22	19	24	26	21	0	20	23	15	18	26	14	19	27	13	16	15	22	22	13	16	11	18	13	9	12	16	12	12	14	10	12	10	10	16
25	32	28	28	27	24	26	22	23	22	22	28	27	23	20	0	24	17	22	24	22	24	27	14	18	14	15	16	17	18	17	18	20	17	14	15	15	17	16	15	16	16	9	13
32	35	27	27	27	29	34	24	20	24	22	28	25	25	21	23	0	15	17	24	20	21	30	15	17	15	14	18	16	18	17	17	17	16	13	20	18	17	17	17	15	16	10	14
22	20	20	20	20	20	18	17	15	20	20	17	21	19	15	17	17	0	18	19	18	15	20	15	19	15	18	17	16	16	16	15	15	14	15	14	13	15	12	17	17	14	9	17
24	26	23	23	23	22	23	21	20	24	22	21	24	25	16	21	19	17	0	20	20	18	23	14	16	15	18	16	15	18	16	18	21	15	12	13	14	16	13	15	17	15	9	14
30	29	26	27	29	27	30	21	23	24	23	25	30	27	24	25	22	17	23	0	22	21	28	18	20	19	20	21	20	20	19	19	19	18	15	17	15	16	16	18	19	18	12	14
23	20	20	20	19	18	18	17	17	19	19	19	21	20	17	16	20	18	17	19	0	16	19	12	18	12	15	15	15	17	15	17	16	15	14	15	12	15	17	15	13	10	9	13
22	31	22	21	22	20	22	18	17	18	20	27	20	20	21	19	21	15	17	19	18	0	23	13	16	12	15	15	15	14	15	20	15	13	12	16	15	16	16	14	13	12	8	14
35	49	33	31	30	35	41	33	21	27	28	37	32	31	24	22	31	17	21	25	20	30	0	18	21	18	19	20	19	21	14	24	17	14	16	19	19	14	17	19	18	19	13	21
16	17	17	15	16	14	15	11	12	15	15	14	17	16	12	13	16	15	13	14	16	12	16	0	15	14	13	15	16	12	13	12	12	11	12	13	11	10	11	13	12	9	13	13
21	17	21	21	20	18	18	17	16	19	21	17	22	19	13	17	18	17	18	20	18	15	19	15	0	16	16	16	19	16	15	16	16	14	14	12	11	13	14	18	16	12	11	14
17	18	17	15	18	14	16	11	13	13	13	17	18	14	15	11	15	14	13	16	14	14	17	16	15	0	15	17	16	12	13	10	12	10	12	8	6	9	8	11	11	9	9	11
23	23	17	20	22	20	27	25	14	19	20	20	22	20	24	13	18	18	18	16	16	16	22	14	18	14	0	17	14	13	13	14	15	12	16	16	14	12	12	14	17	11	11	16
26	24	21	21	21	17	22	18	15	21	16	19	24	21	19	14	17	13	15	17	16	17	23	14	17	17	17	0	16	17	12	13	13	10	14	12	11	11	12	12	13	14	12	14
19	18	19	20	21	16	18	14	14	17	18	16	20	16	14	16	17	15	16	18	18	15	18	16	19	13	13	16	0	14	14	16	14	13	11	12	12	12	13	16	12	12	11	13
25	21	23	23	24	18	23	15	18	22	21	21	22	23	16	18	21	14	14	21	19	19	23	12	16	12	14	18	13	0	12	17	18	14	13	14	15	15	14	14	14	12	9	13
20	20	17	19	18	19	16	16	16	16	18	16	20	19	17	18	18	18	15	17	19	16	19	15	17	13	15	14	17	14	0	17	16	15	14	14	11	15	14	13	13	13	9	11
23	24	22	22	23	17	23	17	17	18	22	22	22	17	17	18	17	11	16	20	16	19	20	11	14	10	12	11	15	14	12	0	15	11	10	12	13	13	13	10	11	8	8	11
22	21	21	21	22	18	18	14	18	21	19	18	19	22	11	20	18	14	19	20	20	19	19	12	16	11	10	13	14	18	14	18	0	16	11	12	12	15	12	14	14	13	6	11
18	20	18	18	19	18	19	14	17	16	15	17	18	19	13	18	16	15	16	18	17	15	17	12	14	12	12	12	12	15	13	14	17	0	11	13	12	14	12	11	13	17	6	11
18	19	16	18	18	18	16	15	14	15	15	16	19	17	15	15	16	15	11	16	17	11	17	13	15	13	13	15	14	12	14	11	12	13	0	14	9	10	11	12	12	13	9	14
20	23	20	19	24	24	21	24	14	19	15	19	18	16	18	15	19	14	11	16	16	14	22	10	13	11	13	13	10	16	11	12	11	12	11	0	16	14	11	11	13	13	6	15
18	24	19	18	21	25	25	25	14	18	14	18	19	17	17	15	17	12	11	15	15	14	23	11	13	11	11	11	11	14	9	13	11	12	13	18	0	15	11	10	12	14	8	13
21	21	20	19	19	18	18	18	17	18	18	17	18	19	17	18	19	14	16	17	17	17	20	11	12	11	10	12	13	15	13	15	17	14	10	12	14	0	13	11	12	14	6	11
16	16	16	16	17	17	15	14	16	16	16	15	17	16	14	16	18	14	15	18	16	15	16	10	13	10	13	12	12	14	13	13	14	13	11	14	12	15	0	12	12	11	5	10
17	17	15	16	16	14	13	11	14	17	15	13	15	14	11	12	16	15	14	17	15	13	17	15	16	15	15	14	13	9	11	12	14	10	10	10	10	12	10	0	14	8	9	13
21	19	17	15	21	21	16	17	16	17	15	16	19	17	13	13	16	14	13	14	16	13	18	14	13	14	14	16	13	11	11	11	12	11	13	12	11	11	10	14	0	10	10	13
20	23	21	20	21	23	20	21	17	19	16	19	22	21	14	19	18	16	18	17	17	16	24	11	15	13	14	14	12	16	14	14	15	18	15	16	15	15	11	12	15	0	6	13
12	15	16	13	15	11	11	8	9	12	11	11	13	12	10	11	11	11	11	12	12	10	12	14	12	12	10	12	12	10	10	8	10	7	8	8	7	8	8	11	10	5	0	10
20	19	18	20	21	18	18	15	16	16	18	18	19	17	15	15	17	16	13	18	17	13	16	15	17	14	15	14	15	12	13	12	14	14	15	14	12	11	11	14	13	13	10	0
