36
0	49	45	36	47	39	43	30	41	36	34	37	32	32	32	22	34	35	25	17	27	32	37	28	21	17	15	13	27	23	17	24	25	13	21	15
44	0	47	44	48	37	51	32	45	33	31	36	32	25	30	22	27	37	22	18	28	36	38	33	20	16	16	11	28	21	14	18	25	12	21	11
39	49	0	44	44	37	44	31	44	28	29	35	32	25	29	21	30	32	23	21	28	31	33	27	17	16	19	11	27	20	16	21	27	15	21	15
34	50	46	0	44	28	41	21	35	22	22	25	22	16	21	12	19	29	11	11	16	25	30	21	11	7	8	9	16	11	6	13	15	5	17	6
45	46	43	43	0	36	43	30	33	26	32	36	35	21	25	18	27	31	20	13	24	27	35	30	20	13	11	9	21	15	14	21	20	9	19	12
35	38	40	30	35	0	39	34	35	28	29	34	29	27	27	21	30	35	23	18	29	32	32	24	23	17	17	11	27	21	17	23	20	15	19	14
42	51	42	41	42	33	0	29	39	27	29	33	31	26	29	19	27	35	22	16	24	28	38	25	21	14	15	10	29	20	15	24	16	13	17	14
30	34	31	21	30	29	30	0	28	25	27	29	27	24	25	19	28	26	22	20	23	24	27	21	22	16	17	10	23	18	17	19	20	13	17	15
35	49	46	38	35	35	43	30	0	32	28	30	25	24	26	21	28	36	22	20	28	31	34	24	19	14	16	12	26	19	13	18	23	13	17	11
36	32	28	19	30	28	26	24	29	0	25	26	23	20	23	20	25	23	20	15	21	26	28	22	21	17	14	12	22	18	17	20	19	13	15	11
33	32	31	21	31	29	29	28	25	23	0	27	26	22	27	20	27	28	19	16	22	23	25	23	19	13	14	10	22	19	12	20	18	11	16	11
33	37	36	28	36	33	34	28	27	26	22	0	37	21	22	21	23	26	22	15	20	29	28	28	16	16	15	13	22	16	17	23	18	14	17	13
30	35	28	25	35	29	32	27	25	23	26	34	0	20	23	20	21	24	20	14	20	28	25	29	19	16	13	13	19	17	16	24	15	15	20	14
30	32	31	18	25	27	29	23	30	28	24	25	22	0	26	19	27	25	20	16	22	23	26	18	17	13	14	9	22	20	13	20	19	12	17	10
34	34	33	22	31	28	31	26	27	26	28	28	26	25	0	20	28	25	19	14	19	23	27	20	16	14	12	10	20	19	12	19	18	12	17	9
25	23	23	13	21	22	18	20	17	21	19	21	19	15	19	0	20	19	15	13	18	22	20	13	15	17	11	11	14	14	15	14	17	13	11	10
32	32	30	18	26	28	29	22	28	28	26	27	23	24	25	19	0	25	22	15	23	24	26	19	18	15	15	9	23	19	16	20	19	13	17	13
31	37	34	27	28	29	33	27	35	25	25	29	22	24	23	20	26	0	18	14	26	26	28	17	18	12	14	9	26	20	11	21	18	11	15	10
21	23	23	16	18	25	21	20	19	19	14	21	18	13	15	17	19	18	0	14	18	20	20	13	15	15	13	10	18	13	19	14	15	11	12	12
18	17	19	9	14	17	15	15	16	16	12	14	14	15	13	10	16	12	16	0	15	13	14	12	12	13	15	10	12	10	13	10	18	14	10	13
28	27	28	18	24	26	27	24	28	24	24	24	21	21	20	18	24	22	18	18	0	26	26	19	23	15	16	11	25	19	13	19	17	14	14	13
30	38	35	26	29	25	30	26	30	25	22	26	26	20	20	24	23	22	21	18	19	0	26	20	19	15	16	14	24	17	16	16	22	14	15	11
37	43	35	32	36	33	36	24	37	29	29	29	23	21	24	21	26	31	19	17	27	26	0	22	24	16	16	12	25	19	14	17	19	16	16	12
28	32	27	19	30	25	24	24	24	27	23	24	25	18	19	14	19	20	16	13	19	18	24	0	16	14	11	9	20	14	15	20	16	10	16	13
24	23	20	11	21	21	22	20	19	20	19	21	21	18	18	17	21	21	15	13	24	20	19	16	0	15	11	10	20	17	12	19	14	12	11	10
13	10	16	6	13	17	12	14	10	14	9	11	16	8	10	15	15	9	14	14	14	12	14	11	8	0	12	10	11	10	15	7	15	13	5	10
16	16	17	8	11	15	15	15	13	15	12	13	12	13	13	11	14	12	16	17	15	11	14	11	11	14	0	11	15	11	12	11	14	14	11	11
8	9	9	4	8	9	6	10	6	6	5	4	9	5	5	5	7	5	8	11	7	10	5	5	5	5	9	0	5	5	7	5	7	8	4	5
28	32	29	19	23	28	29	24	29	23	22	23	22	23	21	18	24	28	19	15	22	21	24	15	19	14	15	9	0	21	14	19	16	12	14	11
25	22	24	12	18	23	24	21	24	21	22	20	17	21	19	16	22	24	17	12	21	20	23	13	18	13	12	9	21	0	11	17	13	11	14	9
16	14	18	9	15	19	14	16	12	19	10	18	17	9	12	15	17	11	19	12	14	17	17	12	13	15	11	8	13	8	0	8	15	10	8	11
23	25	25	15	24	22	25	20	21	21	18	24	24	18	18	17	18	20	15	12	20	20	20	20	20	13	11	9	20	15	10	0	13	11	12	10
24	29	23	18	18	20	21	18	23	20	17	19	18	19	17	18	20	19	17	16	18	21	18	14	12	12	14	12	15	14	13	8	0	11	12	11
9	6	10	6	9	13	6	11	5	7	7	6	9	4	6	10	8	5	9	15	10	7	9	6	4	10	9	12	6	6	11	4	11	0	5	8
21	25	23	18	23	22	26	17	21	16	16	18	18	16	19	9	15	18	9	9	13	12	21	14	6	8	8	6	13	11	6	14	8	7	0	7
10	13	15	8	10	13	10	11	9	10	8	14	12	7	10	7	10	8	12	10	10	7	13	9	7	10	9	7	8	8	11	6	11	8	6	0
