contig	cluster
0	4
1	7
2	4
3	3
4	4
5	5
6	4
7	1
8	4
9	3
10	7
11	4
12	1
13	7
14	5
15	6
16	1
17	7
18	3
19	1
20	6
21	5
22	6
23	5
24	7
25	4
26	1
27	2
28	7
29	7
30	1
31	1
32	4
33	3
34	4
35	2
36	1
37	5
38	1
39	7
40	2
41	5
42	7
43	2
44	5
45	2
46	7
47	2
48	3
49	4
50	4
51	6
52	6
53	1
54	2
55	3
56	4
57	2
58	5
59	2
60	5
61	1
62	4
63	7
64	1
65	5
66	3
67	5
68	4
69	5
70	1
71	1
72	2
73	1
74	6
75	7
76	5
77	3
78	2
79	4
80	7
81	4
82	7
83	1
84	7
85	6
86	6
87	1
88	4
89	1
90	4
91	1
92	4
93	3
94	5
95	4
96	4
97	3
98	4
99	2
100	1
101	2
102	1
103	7
104	6
105	5
106	5
107	1
108	1
109	2
110	5
111	3
112	1
113	7
114	3
115	5
116	4
117	5
118	6
119	3
120	3
121	1
122	2
123	3
124	5
125	1
126	3
127	5
128	3
129	5
130	2
131	7
132	3
133	7
134	6
135	1
136	7
137	6
138	7
139	1
140	5
141	7
142	6
143	4
144	3
145	3
146	4
147	2
148	1
149	5
150	1
151	7
152	7
153	2
154	1
155	4
156	5
157	4
158	1
159	7
160	6
161	5
162	1
163	1
164	2
165	7
166	7
167	4
168	3
169	2
170	4
171	5
172	7
173	6
174	7
175	1
176	2
177	1
178	6
179	4
180	2
181	6
182	3
183	4
184	5
185	2
186	2
187	6
188	7
189	3
190	3
191	4
192	6
193	7
194	7
195	1
196	3
197	1
198	4
199	7
200	6
201	1
202	5
203	6
204	5
205	1
206	7
207	1
208	3
209	7
210	7
211	6
212	5
213	1
214	4
215	5
216	3
217	4
218	5
219	5
220	3
221	5
222	2
223	4
224	1
225	5
226	7
227	1
228	6
229	7
230	5
231	7
232	5
233	7
234	6
235	7
236	1
237	3
238	6
239	5
240	7
241	5
242	1
243	5
244	3
245	5
246	3
247	3
248	1
249	3
